seed,width,height,a,adult,c,child,b,p,max['Child'],max['Adult'],max['AdultBackpack'],max['AdultBike'],width_i,width_ii,overall_exit_time,avg_exit_time,avg_collisions_total,total_avg_occ_all_time,total_eval,no,bayes_weighted_avg_score,evaluation_metric
0,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,95
1,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,117
2,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,87
3,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,115
4,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,85
5,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,114.99,111
6,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,114.99,119
7,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0,0,0,115,114.99,82
8,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,114.99,117
9,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.666666667,0.133333333,0,0,90,114.99,10
10,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,15.2,0,0,0,62,114.99,92
11,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,104
12,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,112
13,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,112
14,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,98
15,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,97
16,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,114.99,82
17,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,114.99,101
18,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0,0,0,115,114.99,88
19,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,114.99,114
20,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,114.99,103
21,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0,0,0,100,114.99,104
22,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,114.99,99
23,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0,0,0,100,114.99,113
24,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,114.99,101
25,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,114.99,104
26,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,114.99,101
27,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0,0,0,115,114.99,96
28,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,114.99,82
29,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.666666667,0.133333333,0,0,90,114.99,101
