seed,width,height,a,adult,c,child,b,p,max[Child],max[Adult],max[AdultBackpack],max[AdultBike],max[Obstacle],max[Exit],width_i,width_ii,overall_exit_time,avg_exit_time,avg_collisions_total,total_avg_occ_all_time,total_eval,evaluation_metric
20,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,7.733333333333333,0.06666666666666667,0,0,0
21,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,10.6,0,0,0,0
22,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,13.466666666666667,0.06666666666666667,0,0,0
23,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,10.266666666666667,0,0,0,0
24,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,9.133333333333333,0.06666666666666667,0,0,0
25,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,10.6,0.2,0,0,0
26,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,9.866666666666667,0.06666666666666667,0,0,0
27,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,10.733333333333333,0,0,0,0
28,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,8.4,0.06666666666666667,0,0,0
29,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,9.666666666666666,0.13333333333333333,0,0,0
30,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,undefined,15.2,0,0,0,0
