seed,width,height,a,adult,c,child,b,p,max['Child'],max['Adult'],max['AdultBackpack'],max['AdultBike'],width_i,width_ii,overall_exit_time,avg_exit_time,avg_collisions_total,total_avg_occ_all_time,total_eval,evaluation_metric,bayes_weighted_avg_score
20,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,7.733333333,0.066666667,0,0,100,
21,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.0,0,0,100,
22,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,13.46666667,0.066666667,0,0,100,
23,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.26666667,0.0,0,0,100,
24,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.133333333,0.066666667,0,0,0,
25,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.6,0.2,0,0,200,
26,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.866666667,0.066666667,0,0,250,
27,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,10.73333333,0.0,0,0,115,
28,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,8.4,0.066666667,0,0,150,
29,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,9.666666667,0.133333333,0,0,90,
30,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,10,10,10,50,50,undefined,15.2,0.0,0,0,62,
31,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,7.733333333,0.066666667,0,0,250,
32,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,10.6,0.0,0,0,200,
33,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,13.46666667,0.066666667,0,0,235,
34,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,10.26666667,0.0,0,0,246,
35,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,9.133333333,0.066666667,0,0,305,
36,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,10.6,0.2,0,0,198,
37,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,9.866666667,0.066666667,0,0,99,
38,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,10.73333333,0.0,0,0,82,
39,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,8.4,0.066666667,0,0,265,
40,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,9.666666667,0.133333333,0,0,255,
41,150,150,"5,true,true","5,true,true",10,10,"3,true",8,20,20,20,20,150,150,undefined,15.2,0.0,0,0,265,185.60018552875698
